gene_id,chr,type,model_type,MiXcan_snp_num,filtered_snp_num,used_indel,used_palindromic,Z_1_join,p_1_join,Z_2_join,p_2_join,p_join
ENSG00000048707.13,1,CellTypeSpecific,adipose,52,44,1,4,-0.490107495861715,0.624057834106918,2.19306836282972,0.0283024540216619,0.0582526517421302
ENSG00000084676.15,2,CellTypeSpecific,adipose,60,60,4,10,-3.99177725745976,6.55799562562912e-05,-4.08059526697177,4.49205134463763e-05,5.33189644487444e-05
ENSG00000134917.9,11,CellTypeSpecific,adipose,13,13,1,0,0.73143548100893,0.464513199794186,0.474651104993554,0.635035673947985,0.553554306623401
ENSG00000142233.11,19,CellTypeSpecific,adipose,47,47,0,7,-0.0955809372805038,0.923853405719362,1.02421074001369,0.305735747013541,0.830780279027385
ENSG00000149054.15,11,CellTypeSpecific,adipose,59,58,4,3,-0.725803526274217,0.467959224882462,2.31210171447527,0.0207720787074876,0.0411004872367079
ENSG00000198914.3,2,CellTypeSpecific,adipose,30,30,1,2,-0.509311369833276,0.610533989593672,-0.50650525073276,0.612502004560695,0.611519108655311
ENSG00000236036.1,13,CellTypeSpecific,adipose,7,6,0,1,-2.26756370188342,0.0233558121557407,-1.76872251663508,0.0769401927670861,0.0358947838978767
ENSG00000257800.1,2,CellTypeSpecific,adipose,42,41,1,8,-1.62784546448022,0.103557657505412,1.02465611400741,0.305525477293219,0.159012387743015
ENSG00000092607.13,1,NonSpecific,adipose,33,33,3,4,-3.52845650871869,0.000417990626239278,-3.52845650871869,0.000417990626239278,0.00041799062623931
ENSG00000103199.13,16,NonSpecific,adipose,55,52,4,7,-0.248201260653845,0.803978691004495,-0.248201260653845,0.803978691004495,0.803978691004495
ENSG00000110092.3,11,NonSpecific,adipose,27,26,1,2,0.190578492755058,0.848855841636026,0.190578492755058,0.848855841636026,0.848855841636026
ENSG00000159164.9,1,NonSpecific,adipose,26,13,1,2,1.96052592164785,0.049934351255102,1.96052592164785,0.049934351255102,0.0499343512551021
ENSG00000165269.12,9,NonSpecific,adipose,28,26,1,6,0.35692592074581,0.721147264118427,0.35692592074581,0.721147264118427,0.721147264118427
ENSG00000166333.13,11,NonSpecific,adipose,18,15,0,1,0.227776255664797,0.81982018674442,0.227776255664797,0.81982018674442,0.819820186744419
ENSG00000224397.5,20,NonSpecific,adipose,37,37,2,2,-2.11539331633796,0.0343964389723871,-2.11539331633796,0.0343964389723871,0.0343964389723871
ENSG00000226445.1,6,NonSpecific,adipose,28,27,1,3,4.40102468390924,1.07740865850698e-05,4.40102468390924,1.07740865850698e-05,1.07740865850576e-05
ENSG00000232871.8,19,NonSpecific,adipose,37,37,0,6,4.20728190985875,2.584606363913e-05,4.20728190985875,2.584606363913e-05,2.5846063639183e-05
ENSG00000277147.4,1,NonSpecific,adipose,22,9,1,2,2.18639975984878,0.0287863711735172,2.18639975984878,0.0287863711735172,0.0287863711735173
ENSG00000048707.13,1,CellTypeSpecific,fibroblast,33,28,0,4,1.12531639407672,0.260454985102789,1.2123240891327,0.22538834625037,0.241909906446172
ENSG00000092607.13,1,CellTypeSpecific,fibroblast,33,33,3,5,-0.107930850784434,0.914050544673825,-2.2079411456581,0.0272483761186929,0.0776042068032104
ENSG00000110092.3,11,CellTypeSpecific,fibroblast,44,43,1,5,1.47306005703785,0.140734842526177,-0.23604159645786,0.813400392662864,0.406259691040435
